,articles
10,"PALM BEACH, FL—Repeatedly opening and closing the browser window for his bank’s website, former President Donald Trump told reporters Monday that he was scared to check his credit score. “I can’t do it—I just can’t do it,” said Trump, who admitted that he hadn’t paid off his credit card in weeks and grimaced as he imagined the animated dial on his screen pivoting even further counterclockwise. “It already wasn’t great, especially after all that Trump University stuff, but now? It’s going to be rock bottom, I just know it. I’m never going to recover from this. I could open up another account in Barron’s name, but I’m pretty sure I already tanked his credit too.” At press time, Trump had reportedly responded to his credit score by hurling his computer across the room."
11,"WASHINGTON—In what many of his congressional colleagues have described as the most noble act of his storied career, Senate Minority Leader Mitch McConnell (R-KY) announced Thursday that upon his death, he would donate his body to lobbyists for research. “By studying this extraordinary specimen capable of such tremendous feats of opportunism, lobbyists will gain great insights into the human capacity for corruption,” said Don Stewart, McConnell’s deputy chief of staff, explaining that lobbyists would be able to take what they learned from the remains of a seven-term senator without scruple and discover new ways to buy and pay for lawmakers. “They will be asking questions like: How much influence can the human body peddle? Was there something unique in Sen. McConnell’s genetic makeup that allowed him to engage in shameless obstructionism and fight against campaign finance reform for all those decades? And is this a quality that can be replicated in future generations of congressional leaders? The advances for the field of lobbying could be quite profound.” Reached for comment, top D.C. lobbyists said the donation of the senator’s body would finally allow them to pinpoint the exact location of the great emptiness inside of McConnell that could only be filled with cash."
12,"The former president has relied on a variety of tactics to slow down proceedings in his numerous trials.The Onionexamines Donald Trump’s best excuses for delaying legal hearings. Oh darn, it’s one of those days when doors don’t open or close. Trump has successfully pushed back the date of several trials by claiming he is still one year away from being born. It’s really stupid and annoying going to a trial, and frankly, it sucks. And the people who are making him do it suck. And the only way that wouldn’t be the case is if they delayed things. Trump has shown up to court several times doing a terrible approximation of what he believes Hungarian sounds like. He claimed the Japanese experimental artist slept with his counsel and distracted him from doing his best legal work. He’ll look like an idiot in the court sketch if he goes in with this stain! Ow, it really hurts! Hold on—no. This is serious. Give him a second so he can figure out what’s going on. Trump’s attorneys have argued that the former president is currently in the middle of a leisurely lunch that could run well into 2025. Instead of fixing their marriage and teaching him to empathize with what it’s like to be a female immigrant from Slovenia, it just made him late to court. And unfortunately, the melting skeleton does not negotiate after it makes up its mind. While he wished he could be tried for election interference, he unfortunately could not find his way out of the Devil’s Triangle, where his ship had disappeared under mysterious circumstances. His aides are putting him back together as quickly as possible, but give him a break here. After fixing the bone spurs in his heels that prevented him from fighting in the Vietnam War, he’s finally been drafted into the U.S. Army. It was $20 plus tip, so he didn’t want to mess it up. Celebrating his covenant with God by being circumcised was booked months in advance. He’ll appear before the judge as soon as it’s finished. The juicy pear got all over his face, making him too sticky to stand trial. He said the sexual tension between him and Judge Tanya Chutkan was too strong for him to be able to stand trial. The thought alone of having to testify in front of all those people makes Trump nervous enough to throw up. PBS just started airing an episode based in Newport, RI that he’s been waiting to watch for weeks. TheSesame Streetcharacter makes learning to use the potty less intimidating and stressful for Trump. Trump successfully claimed he could not attend several of his New York court dates because he was currently on ice at the morgue. And then they grew way too big in the dryer. Years of singing, acting, and dreaming have finally gotten Trump his break on the big stage, and no criminal trial will take that from him. Trump’s self-esteem got too low for him to stand trial after he saw an unflattering angle of himself playing golf. Trump’s maternal grandfather, Malcolm MacLeod, just passed away last night, and even though they were never really super close, his mom says he still has to go. He used it to get out of several Cabinet meetings while president, too. President Trump is frantically attempting to finish the classic Frank Herbert novel beforeDune: Part Twocomes out in theaters, and there’s no way he’s ever going to get through the 800-page behemoth at this rate. Going to probably take another few months to soften up enough to be swallowed. The delay came when it ended up pulling his whole body through, requiring a lot of tape to stick the strips of him back together in the right order. If you let him delay forAntiques Roadshowonce, you need to let him do it again. That’s the law. How can he stand trial if he can’t understand a single word anyone is saying? Melania refused, Barron’s scared of them, and the former president doesn’t have any extra cash for a sitter. You can try to bring Trump the man to court, but it’s in Trump the mighty oak tree that the former president’s corrupted soul resides."
13,"COLUMBIA, SC—Claiming she still had a quarter tank and was ready to fight, Republican presidential candidate Nikki Haley vowed Friday to remain in the race until her campaign bus ran out of gas. “To the critics who say I should drop out, let me be clear: I am in this race for as long as it takes for my campaign bus’s gas gauge to read empty,”said Haley, pointing to her impressive fundraising numbers, which have reportedly allowed her to have an extra 5-gallon gas can on hand. “Whether it’s on the side of I-95 or at a rest stop in rural South Carolina, I will continue our movement until there aren’t even fumes left to run on. We will never give up, though our bus’s engine might.” At press time, JPMorgan Chase CEO Jamie Dimon was seen giving Haley a piggyback ride to her next campaign event."
14,"PALM BEACH, FL—Closing his eyes and letting his mind wander, former President Donald Trump was reportedly daydreaming Monday about what he would do if he were rich. “Can you imagine never having to worry about money ever again?” said Trump, who smiled as he slipped into the ideal imaginary world in which he could leave his presidential campaign behind and simply spend the rest of his life lying on a warm, sandy beach halfway around the world with a virgin mai tai in his hand. “I could basically do whatever I wanted. I wouldn’t have any debt. I wouldn’t read the news. I’d wake up whenever I wanted, eat whatever I wanted, and never have to worry about Melania leaving me.” At press time, Trump’s daydream had been abruptly interrupted by an aide informing him it was time to go on stage."
15,"WASHINGTON—Ignoring his better judgment so as not to be called a chicken, President Joe Biden reportedly fell through a sheet of ice and plunged into dangerously cold water Monday after his buddies dared him to walk on the frozen Capitol Reflecting Pool. Sources confirmed the commander-in-chief’s chums had bet him $5 he couldn’t make it across the pool without chickening out, to which Biden responded, “Oh, yeah? Watch this.” The president is said to have taken only a few steps before breaking through the thin ice, sinking below the surface, and failing to reemerge for quite some time. According to reports, his friends’ playful laughter quickly dissolved into concern, at which point everyone in attendance scattered home so as not to get in trouble. At press time, witnesses confirmed first pet Commander Biden had fearlessly bounded onto the ice, grasped the drowning president in his jaws, pulled him to safety, and then ripped him to bloody shreds."
16,"WASHINGTON—Moments after pulling shut the door to the Roosevelt Room and locking it behind her, a terrified Vice President Kamala Harris reportedly told aides to “Stab him! Stab him, you cowards!” on Friday after she plunged a knife into President Joe Biden’s back. “What are you waiting for, you fools? Strike now! Strike before the opportunity goes cold!” said the blood-dappled vice president, who, as her staff appeared to grow uncertain of the blades in their shaking hands and backed away toward the exit,  reminded each panicked aide in turn that they had pledged their fealty for this day. “Think of all I’ve promised you. Think of all we stand to gain. Quick, now, the first blow has been rendered. There is no going back. We’re confederates in this. We must act now or be damned by inaction!” At press time, sources confirmed President Biden had complained to an assistant of a tightness in his shoulder and returned to the Oval Office with the knife still protruding from his back."
17,"Former President Donald Trump recently said during a rally that he’d invite Russia “to do whatever the hell they want” to members of NATO that had not paid their dues.The Onionasked Republicans why they were downplaying Trump’s remarks, and this is what they said. “He obviously would never have said something so reckless without clearing it with Russia first.” “Who cares if Russia attacks NATO? Most Americans, myself included, couldn’t point to the country of NATO on a map anyway.” “Is it an organization, or is it a treaty? They got to make up their mind.” “Donald was simply ringing a warning bell. God I love bells, don’t you? Cowbell, handbell, full circle, and carillon. of course. Have you heard a bonshō? Or an agogô? God, they are all just incredible. I just can’t get enough of those things.” “Oh, so we’re judging people by what they believe now?” “I’d like to see even more loan-sharking tactics in politics.” “Jeopardizing a longstanding military alliance shows that he’s fun and spontaneous.” “A Russian attack on NATO would inspire some fabulous war movies.” “The former president obviously didn’t mean exactly what he said, unless he did, in which case I’m also 100% behind him.” “He said nothing wrong. I agree with him that NATO is the enemy of our glorious motherland, Russia.” “When Trump is reelected, he will adopt a more responsible tone and only incite civil wars.” “At this point, I would be worried if he didn’t make reckless statements with catastrophic implications.” “But I thought Democrats liked funding endless wars.” “By now, I’m way past any ethical or intellectual qualms about just repeating what Trump says.” “That’s just Trump the candidate. We have no idea what kind of president he’d actually be.” “If you know a better way to bring about Judgment Day, I’d like to hear it.”"
18,"WASHINGTON—After top advisors patted his head and called him a good president, Joe Biden was rewarded with extra time on his tablet  Thursday, according to sources within the West Wing. “Since you were so patient and quiet all the way through the  National Security Council meeting, you can play on the iPad for 30 minutes,” said White House aide Will Ortiz, handing the president a tablet housed in a shockproof case intended to prevent him from getting the device sticky or accidentally cracking it as he sat on the floor of the Oval Office with a tube of Go-Gurt and enjoyed his screen time. “Now remember, you can only use the apps [chief of staff] Jeff [Zients] put on there for you, okay? If you download YouTube or anything like that, we’ll have to ground you from any official presidential engagements.” At press time, the national debt had reportedly skyrocketed after Biden purchased trillions of dollars’ worth ofFortniteskins from the app store."
19,The report by special counsel Robert Hur that describes Joe Biden as an “elderly man with a poor memory” has renewed debate about the president’s capacity to carry out a second term. But how bad is his memory compared to that of the average American? Take the quiz below to compare your answers to questions recently posed to Joe Biden. 3.14159265358979323846264338327950288421? A. Pennsylvania B. Pennsylvania C. Pennsylvania D. Pennsylvania A. Kazuma Kiryu B. Ichiban Kasuga. C. Goro Majima D. All of the above.
20,"NEW YORK—Refuting claims that his references to recent conversations with deceased politicians were made by mistake, President Joe Biden confirmed Thursday that he speaks to dead European leaders all the time as they beckon him toward the light. “That was not a gaffe—I distinctly remember Helmut Kohl telling me the other day that it was time to let go and step into the light,” said the 81-year-old commander in chief, adding that a glowing apparition of Kohl appears to him at the end of a tunnel all the time, typically summoning him to the other side with a peaceful come-hither motion. “Despite what my critics would have you believe, I maintain an active relationship with Helmut and Francois [Mitterrand], and often take counsel from them on crossing over to the spirit realm, as well as other various matters of politics. Just the other day, they were whispering to me that all of this suffering and toil will soon be over once I accept the warm embrace of eternal rest. Now, if you’ll excuse me, I have to walk up that gleaming staircase to greet my late mother, Queen Elizabeth, and St. Peter, all of whom are waving at me from that fluffy cloud.” At press time, President Biden had clarified that, to be fair, former German chancellor Angela Merkel has also tried to convince him many times to give up his corporeal form."
21,"LAS VEGAS—In a significant blow for the presidential candidate’s already beleaguered campaign, Nikki Haley lost Nevada’s Republican primary Tuesday to the alternative option of “I’m Trans and You Can Take My Guns,” according to the final tally of votes. “It’s a major upset for Haley to have nearly 63% of conservative voters casting their ballot for the phrase ‘I’m Trans and You Can Take My Guns,’” said political analyst Shawn Benninghoff, who noted that the loss to the nine-word pro-trans and anti-guns statement was a particularly stunning defeat given that leading GOP candidate Donald Trump did not even take part in the state’s primary. “What should really raise questions about the viability of this campaign is that she was also edged out by the write-in options of ‘I Love Hunter Biden’ and ‘I am a Pedophile and Love Drinking Adrenochrome.’ You’ve really got to ask who this presidential run is even for at this point.” At press time, the Haley campaign had reportedly attempted to reach out to “I’m Trans and You Can Take My Guns” to ask if it was willing to be her running mate."
22,"WASHINGTON—Noting  that such violent ambushes had skyrocketed over the years he’d been in office, Sen. Chuck Grassley (R-IA) pushed for legislation Wednesday to combat stagecoach robberies. “While Democrats remain soft on crime, these dastardly bandits continue to roam the plains, robbing our nation’s hardworking prospectors blind,” said Grassley, who called on the government to crack down on the rampant violence preventing thousands of brave ladies and gentlemen from hitting the dusty trail and seeking gold out west. “As long as these mustachioed outlaws continue to hop into  wagons, spook the horses, and make off with their weight in jewels and other finery, no one is safe. This is what happens when Joe Biden defunds the sheriff.” Grassley also made an impassioned plea that the National Guard be dispatched in order to find and kill Butch Cassidy."
23,"WASHINGTON—In an address from the White House carried live on television, President Joe Biden gave the nation the nuclear launch codes Monday in case anything were ever to happen to him. “Folks, I don’t plan on going anywhere anytime soon, but the fact is, I’m not always going to be around, and you need to be prepared to oversee our long-range and tactical nuclear weapons on that day,” said the commander-in-chief, who added that he had been holding onto the highly classified sequence of letters and numbers until he thought the nation was ready to responsibly operate its arsenal of 5,244 warheads. “Just write the codes somewhere safe so you don’t lose them. Because, listen, if I have to go away, you’re the president, understand? All of you are. Okay, you ready? The code is 3X52-4980.” At press time, the American public had reportedly launched an intercontinental ballistic missile at East Timor."
24,"DAYTONA BEACH, FL—Saying the event would mark a pivotal moment in the years-long conservative psyop, liberal conspiracy theorists claimed Friday that Kid Rock would endorse Donald Trump for president at this year’s Daytona 500. “Calling it now—on Feb. 18, Kid Rock takes the stage for a pre-race concert at Daytona and spreads Pentagon-planted conservative propaganda for Donald J. Trump,” said liberal conspiracy theorist Alex Graham, adding that it was no coincidence that the NASCAR Cup race had been “rigged” to secure Kid Rock’s attendance just as Trump geared up for his 2024 general election push. “Kid Rock has been falsely propped up by the government for decades in order to mobilize middle-aged conservative voters and direct them to do whatever the Trump campaign commands. Between him, Ted Nugent, and John Voight, Biden has no chance to win the election.” At press time, Graham also slammed Kid Rock for being a slut and a bad role model for liberals due to the fact that he was previously married to Pamela Anderson and owns machine guns."
25,"WASHINGTON—A new poll released Wednesday by the Pew Research Center offered a rare glimpse into the psychology of those who will decide the 2024 presidential election, finding that for the average voter, it couldn’t hurt if they woke up to Donald Trump or Joe Biden making them a big stack of pancakes. “I’m not saying it would tip my vote one way or the other, necessarily, but were either of those candidates to wake me up one morning with a plate of flapjacks drizzled in real maple syrup, that would be a very nice thing,” said registered voter Cameron Stroebel of Flagstaff, AZ, one of millions of Americans who is leaning toward Biden or Trump putting on an apron, saying “Knock knock, who wants a little treat?” and then entering the room with sweet, golden brown pancakes. “Obviously, this isn’t the biggest concern for me or anyone else in this country. But if one of themdiddo this, would I appreciate a pad of melty butter on top and a little saucer of blueberry compote on the side? Absolutely. Also, while I don’t know if Trump or Biden has staked out a firm position on this issue, I’d want both water and coffee, because I get thirsty in the morning. And—this is really a litmus test for me as a voter—it couldn’t be too early, because I like to sleep in. But a 10 a.m. stack of griddle cakes from the current or former leader of the free world? Nothing wrong with that.” Poll respondents also noted that in terms of how they planned to vote on Nov. 5, if there were some bacon on the side, then you’d be talking."
26,"WASHINGTON—Following a tip from the White House IT department, Vice President Kamala Harris was reportedly reprimanded this week for playingThe Sims 4on her work computer. “What the hell is that—is that supposed to be a model White House?” said an irate Jeff Zients, the chief of staff shaking his head in disgust as he peered over the vice president’s shoulder and observed the replica office she had created, which seemed mostly identical to her real one, except that it had a swimming pool with no ladder where three Sims were actively drowning, and that Harris’ Sim appeared to be a vampire who was also a detective. “I don’t care if the base game was free. When you’re at work, you work. I never want to see the EA app on this computer again. You delete this shit right now. Oh God, is that a pregnant werewolf?” At press time, sources confirmed Harris was sent home for the day after Zients discovered she had charged more than $200 worth of expansion packs to the White House credit card."
27,"WASHINGTON—Stating that it was as easy to prepare 330 million helpings as  one, President Joe Biden announced Thursday that he was reheating chili if anyone was interested. “I’m going to pop some chili into the microwave in a minute or so if anyone wants some,” said Biden, who raised his eyebrows as he gestured emphatically at the large container of leftover meat and beans and repeated “anyone want in on this?” “It smells good. I bet it tastes good, too. It’s from Tuesday, but it should still be good. Better, even. It gives the flavors time to mingle. Alright, last chance if anyone wants any. You’ll need to get past security to get into the White House, but I can arrange that.” At press time, Biden was attempting to entice the nation by shaking a bag of oyster crackers."
28,"EXETER, NH—Raising concerns about the role that political misinformation and deepfakes might play in the coming presidential contest, election security experts confirmed the existence of a fake Joe Biden robocall Monday in which the sitting president tells New Hampshire voters that he took a paternity test and he’s their dad. “Hey there, kiddo, this is President Biden and I need to tell you something about the identity of your real father and that’s going to be a real doozy—it sure was for me,” said the voice purporting to be Biden, which reportedly spends the nearly 73-minute fabricated robocall holding back tears as he tells voters that he had made mistakes, but now wants to make up for lost time. “Listen, bud, I’m so sorry I wasn’t there for your T-ball games. But I’m here now, and I love you so very much and I’d love to watch you swing that bat. So don’t go to the polls on Tuesday. Take a train to my house in Wilmington and we’ll hash this all out over a bowl of Jillie’s famous soup. She isn’t your mom, by the way. But that’s a whole different story.” At press time, election experts had reportedly caused widespread disappointment after telling New Hampshire voters that the real Biden had no intention of taking them to the zoo and buying them an ice cream cone."
29,"HAMPTON BEACH, NH—Greeting the video with a mixture of mild consternation and resigned acceptance, Republican voters across the nation reportedly shrugged Monday and said there was really nothing you could do after footage of Donald Trump molesting a deer emerged. “Look, did I personally want or expect to see this video of Trump wetly kissing a doe on the cheek and reaching for her groin—no, obviously not—but what am I supposed to do now? Stop supporting the guy?” said New Hampshire voter Anthony Palmieri, one of millions of Trump supporters who appeared unfazed and responded, “Basically, it is what it is,” after watching the 93-second video of the former president slapping a female deer’s rear end and asking if what he was doing turned her on. “I’ve been on the Trump train for almost nine years now. I’ve been through so much already. No, I didn’t need to see Trump’s arm disappearing inside a deer’s body. And I can’t really cobble together an explanation for what he was doing sticking his tongue in her ear. I guess I could say this is just something that would happen in a locker room? Or that the media made it up? Yeah, I guess I’ll go with that.” At press time, an increasingly confident Palmieri went on to stress that no one was even considering all the woodland animals President Joe Biden had probably molested."
30,"Donald Trump recently argued that presidents should receive “total immunity” from prosecution even if they commit crimes.The Onionasked Americans to explain why presidents should have immunity, and this is what they said. “Maybe if the position came with immunity, more people would want to be president, and we’d finally have some more viable options.” “As someone who benefits from immunity from the law, I have to say it’s fantastic.” “Because my name is in a lot of little black books that I’d hate to see go public over the course of a trial.” “Makes my job a lot easier.” “Because the president is not just a man, but a powerful otherworldly being forged in a realm of freedom and justice to watch over us. Who are we, mere mortals, to attempt to question such a spirit’s actions?” “The body is its own prison.” “Oh, I broke the law a lot—like, a lot a lot—and I would like to get away with it scot-free.” “I hope in my lifetime to see the first president to commit beastiality in office. And I don’t want him to go to jail.” “If the president can’t get away with outlandish acts of corruption and self-dealing, then what hope do the rest of us have?” “I’ve accomplished a lot of things in my 99 years on this planet, but I’ve never strangled a man with my bare hands.” “Because I said so, that’s why!” “I think it’s cruel and unusual punishment to lock up the elderly.” “Trump’s people called me and offered me $600,000 if I would say I supported it in this slideshow.” “Our prisons are overcrowded enough as it is.” “As someone who hates Democrats but loves Republicans, I just can’t see any situation where giving a liberal president unlimited legal immunity could turn out badly.” “Because when I grow up, I’m going to be a despotic autocrat!” “The laws of man have no meaning. Ethics is void. The universe is a cold and empty place, and our supposed laws are an attempt to patch over that fundamental reality. It’s come time to own up to that.” “All the courtroom drawings might give him body dysmorphia.” “Presidents should be treated no differently than the rest of us billionaires.” “It would make the presidents of all the other countries super jealous.” “American? I’m a British bloke! But downright chuffed I passed for a Yank.” “I used to think nobody was above the law, but then my therapist taught me the danger of thinking in absolutes.”"
31,"SACRAMENTO, CA—As an otherworldly glow emanated from the California governor’s meticulously sculpted coiffure, sources confirmed Friday that the pulsating hair product on Gavin Newsom’s head had taken control of his thoughts. “There will be no bills signed, no presidential campaign—there will only be hair,” said the disembodied voice emanating from the greasy, slicked-back mass atop Newsom’s skull, his hair reportedly growing into thick, powerful tendrils long enough to choke out his political opponents anywhere they might try to hide in the State Capitol. “There will be no clemency for those who refuse to succumb to the wet and shiny hair. With these mighty strands, I command the wildfires and the earthquakes, the droughts and the floods!” At press time, sources confirmed Newsom’s hair product had evicted several homeless people seeking shelter within the throbbing gelatinous nest upon his head."
